BoroCD *,CD_FULL_TITLE,Neighborhoods
101,Manhattan Community District 1,"Battery Park City, Civic Center, Ellis Island, Governors Island, Liberty Island, South Street Seaport, Tribeca, Wall Street, World Trade Center"
102,Manhattan Community District 2,"Greenwich Village, Hudson Square, Little Italy, NoHo, SoHo, South Village, West Village"
103,Manhattan Community District 3,"Chinatown, East Village, Lower East Side, NoHo, Two Bridges"
104,Manhattan Community District 4,"Chelsea, Clinton, Hudson Yards"
105,Manhattan Community District 5,"Flatiron, Gramercy Park, Herald Square, Midtown, Midtown South, Murray Hill, Times Square, Union Square"
106,Manhattan Community District 6,"Beekman Place, Gramercy Park, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay"
107,Manhattan Community District 7,"Lincoln Square, Manhattan Valley, Upper West Side"
108,Manhattan Community District 8,"Carnegie Hill, Lenox Hill, Roosevelt Island, Upper East Side, Yorkville"
109,Manhattan Community District 9,"Hamilton Heights, Manhattanville, Morningside Heights, West Harlem"
110,Manhattan Community District 10,Central Harlem
111,Manhattan Community District 11,"East Harlem, Harlem, Randall's Island Park, Wards Island Park"
112,Manhattan Community District 12,"Inwood, Washington Heights"
201,Bronx Community District 1,"Melrose, Mott Haven, Port Morris"
202,Bronx Community District 2,"Hunts Point, Longwood"
203,Bronx Community District 3,"Claremont, Crotona Park East, Melrose, Morrisania"
204,Bronx Community District 4,"Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse"
205,Bronx Community District 5,"Fordham, Morris Heights, Mount Hope, University Heights"
206,Bronx Community District 6,"Bathgate, Belmont, Bronx Park South, East Tremont, West Farms"
207,Bronx Community District 7,"Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights"
208,Bronx Community District 8,"Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil"
209,Bronx Community District 9,"Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport"
210,Bronx Community District 10,"City Island, Co-op City, Country Club, Edgewater Park, Pelham Bay, Schuylerville, Throgs Neck, Westchester Square"
211,Bronx Community District 11,"Allerton, Bronxdale, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest"
212,Bronx Community District 12,"Baychester, Eastchester, Edenwald, Olinville, Wakefield, Williamsbridge, Woodlawn"
301,Brooklyn Community District 1,"East Williamsburg, Greenpoint, Northside, Southside, Williamsburg"
302,Brooklyn Community District 2,"Boerum Hill, Brooklyn Heights, Clinton Hill, Downtown Brooklyn, DUMBO, Fort Greene, Fulton Ferry, Navy Yard, Vinegar Hill"
303,Brooklyn Community District 3,"Bedford-Stuyvesant, Stuyvesant Heights, Tompkins Park North"
304,Brooklyn Community District 4,Bushwick
305,Brooklyn Community District 5,"Broadway Junction, City Line, Cypress Hills, East New York, Highland Park, New Lots, Spring Creek, Starrett City"
306,Brooklyn Community District 6,"Carroll Gardens, Cobble Hill, Columbia St, Gowanus, Park Slope, Red Hook"
307,Brooklyn Community District 7,"Sunset Park, Windsor Terrace"
308,Brooklyn Community District 8,"Crown Heights, Prospect Heights, Weeksville"
309,Brooklyn Community District 9,"Crown Heights South, Prospect Lefferts Gardens, Wingate"
310,Brooklyn Community District 10,"Bay Ridge, Dyker Heights, Fort Hamilton"
311,Brooklyn Community District 11,"Bath Beach, Bensonhurst, Gravesend, Mapleton"
312,Brooklyn Community District 12,"Borough Park, Kensington, Ocean Parkway"
313,Brooklyn Community District 13,"Brighton Beach, Coney Island, Gravesend, Homecrest, Sea Gate, West Brighton"
314,Brooklyn Community District 14,"Ditmas Park, Flatbush, Manhattan Terrace, Midwood, Ocean Parkway, Prospect Park South"
315,Brooklyn Community District 15,"Gerritsen Beach, Gravesend, Homecrest, Kings Highway, Manhattan Beach, Plumb Beach, Sheepshead Bay"
316,Brooklyn Community District 16,"Broadway Junction, Brownsville, Ocean Hill"
317,Brooklyn Community District 17,"East Flatbush, Farragut, Flatbush, Northeast Flatbush, Remsen Village, Rugby, Erasmus"
318,Brooklyn Community District 18,"Bergen Beach, Canarsie, Flatlands, Georgetown, Marine Park, Mill Basin, Mill Island, Paerdegat Basin"
401,Queens Community District 1,"Astoria, Astoria Heights, Queensbridge, Dutch Kills, Long Island City, Ravenswood, Rikers Island (BX), Steinway"
402,Queens Community District 2,"Blissville, Hunters Point, Long Island City, Sunnyside, Sunnyside Gardens, Woodside"
403,Queens Community District 3,"East Elmhurst, Jackson Heights, North Corona"
404,Queens Community District 4,"Corona, Corona Heights, Elmhurst, Lefrak City"
405,Queens Community District 5,"Glendale, Maspeth, Middle Village, Ridgewood"
406,Queens Community District 6,"Forest Hills, Forest Hills Gardens, Rego Park"
407,Queens Community District 7,"Auburndale, Bay Terrace, Beechhurst, Clearview, College Point, Downtown Flushing, East Flushing, Flushing, Malba, Murray Hill, Queensboro Hill, Waldheim, Whitestone"
408,Queens Community District 8,"Briarwood, Fresh Meadows, Hillcrest, Holliswood, Jamaica, Jamaica Estates, Jamaica Hills, Kew Gardens Hills, Pomonok, Utopia"
409,Queens Community District 9,"Kew Gardens, Ozone Park, Richmond Hill, Woodhaven"
410,Queens Community District 10,"Howard Beach, Lindenwood, Old Howard Beach, Ozone Park, South Ozone Park"
411,Queens Community District 11,"Auburndale, Bayside, Douglaston, Hollis Hills, Little Neck, Oakland Gardens"
412,Queens Community District 12,"Hollis, Jamaica, Jamaica Center, North Springfield Gardens, Rochdale, South Jamaica, St. Albans"
413,Queens Community District 13,"Bellaire, Bellerose, Brookville, Cambria Heights, Floral Park, Glen Oaks, Laurelton, New Hyde Park, Queens Village, Rosedale, Springfield Gardens"
414,Queens Community District 14,"Arverne, Bayswater, Belle Harbor, Breezy Point, Broad Channel, Edgemere, Far Rockaway, Hammels, Neponsit, Rockaway Park, The Rockaways, Roxbury, Seaside, Somerville"
501,Staten Island Community District 1,"Arlington, Castleton Corners, Clifton, Elm Park, Fox Hills, Graniteville, Grymes Hill, Howland Hook, Livingston, Mariner's Harbor, New Brighton, Old Place, Park Hill, Port Ivory, Port Richmond, Randall Manor, Rosebank, Shore Acres, Silver Lake, St. George, Stapleton, Sunnyside, Tompkinsville, Ward Hill, West Brighton, West New Brighton, Westerliegh, Willowbrook"
502,Staten Island Community District 2,"Arrochar, Bloomfield, Bulls Head, Chelsea, Concord, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, Heartland Village, Lighthouse Hill, Manor Heights, Midland Beach, New Dorp, New Dorp Beach, New Springville, Old Town, South Beach, Todt Hill, Travis, Willowbrook"
503,Staten Island Community District 3,"Annadale, Arden Heights, Bay Terrace, Butler Manor, Charleston, Eltingville, Fresh Kills, Great Kills, Greenridge, Huguenot, Oakwood, Oakwood Beach, Oakwood Heights, Pleasant Plains, Prince's Bay, Richmond Town, Richmond Valley, Rossville, Sandy Ground, Tottenville, Woodrow"
